"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/11/2025 01:00,5.1,4.5,14.7,0.996
01/11/2025 02:00,5.3,4.1,14.3,0.996
01/11/2025 03:00,6.8,3.4,13.8,0.996
01/11/2025 04:00,7.5,4.4,13.0,0.996
01/11/2025 05:00,6.5,4.3,12.7,0.996
01/11/2025 06:00,5.5,2.8,13.1,0.996
01/11/2025 07:00,7.2,3.4,14.3,0.996
01/11/2025 08:00,6.3,2.8,17.9,0.996
01/11/2025 09:00,9.0,6.1,18.3,0.996
01/11/2025 10:00,5.7,9.6,25.2,0.995
01/11/2025 11:00,,,28.8,0.995
01/11/2025 12:00,1.6,2.6,30.1,0.994
01/11/2025 13:00,7.0,3.5,29.1,0.993
01/11/2025 14:00,17.1,1.3,25.1,0.993
01/11/2025 15:00,15.3,4.3,25.5,0.992
01/11/2025 16:00,15.1,4.7,27.6,0.991
01/11/2025 17:00,9.7,3.2,28.3,0.990
01/11/2025 18:00,8.3,1.4,27.3,0.990
01/11/2025 19:00,15.8,3.2,26.3,0.990
01/11/2025 20:00,19.7,9.1,24.3,0.990
01/11/2025 21:00,16.9,8.1,22.2,0.990
01/11/2025 22:00,11.1,7.3,22.1,0.989
01/11/2025 23:00,13.1,5.0,23.1,0.988
02/11/2025 00:00,11.8,4.1,23.5,0.988
02/11/2025 01:00,9.1,1.0,23.8,0.989
02/11/2025 02:00,7.2,2.1,23.6,0.988
02/11/2025 03:00,7.0,3.2,23.9,0.986
02/11/2025 04:00,4.0,1.0,23.9,0.985
02/11/2025 05:00,7.4,2.1,23.9,0.985
02/11/2025 06:00,7.5,5.3,23.8,0.984
02/11/2025 07:00,5.8,-0.3,24.4,0.985
02/11/2025 08:00,3.4,2.5,28.7,0.985
02/11/2025 09:00,12.4,8.4,24.2,0.988
02/11/2025 10:00,22.9,9.0,19.8,0.987
02/11/2025 11:00,21.8,5.8,18.9,0.988
02/11/2025 12:00,24.1,8.8,16.8,0.988
02/11/2025 13:00,24.9,11.0,16.3,0.990
02/11/2025 14:00,22.3,9.5,16.2,0.989
02/11/2025 15:00,21.3,7.7,16.2,0.989
02/11/2025 16:00,20.8,8.2,15.4,0.990
02/11/2025 17:00,14.7,7.2,15.2,0.990
02/11/2025 18:00,16.4,6.2,14.6,0.990
02/11/2025 19:00,15.8,7.3,13.9,0.990
02/11/2025 20:00,14.5,5.6,13.9,0.990
02/11/2025 21:00,13.0,6.7,13.7,0.990
02/11/2025 22:00,8.5,3.7,13.6,0.990
02/11/2025 23:00,8.4,1.9,13.5,0.990
03/11/2025 00:00,7.3,2.4,13.4,0.990
03/11/2025 01:00,6.3,6.5,13.2,0.989
03/11/2025 02:00,11.8,7.8,13.0,0.989
03/11/2025 03:00,15.2,5.4,12.7,0.988
03/11/2025 04:00,17.5,4.9,12.5,0.988
03/11/2025 05:00,18.3,3.6,12.5,0.988
03/11/2025 06:00,15.9,6.0,10.8,0.989
03/11/2025 07:00,14.2,7.6,10.7,0.989
03/11/2025 08:00,10.9,3.2,12.9,0.989
03/11/2025 09:00,12.9,0.8,10.7,0.989
03/11/2025 10:00,9.5,2.5,12.7,0.989
03/11/2025 11:00,11.7,3.4,11.9,0.989
03/11/2025 12:00,5.8,1.3,13.3,0.988
03/11/2025 13:00,9.7,3.0,13.2,0.988
03/11/2025 14:00,11.1,2.6,12.4,0.988
03/11/2025 15:00,11.2,2.6,13.3,0.988
03/11/2025 16:00,13.6,4.1,11.5,0.988
03/11/2025 17:00,7.2,4.8,12.0,0.988
03/11/2025 18:00,10.6,4.0,11.8,0.989
03/11/2025 19:00,11.9,3.6,8.9,0.990
03/11/2025 20:00,7.5,2.9,9.3,0.990
03/11/2025 21:00,7.4,3.3,10.2,0.991
03/11/2025 22:00,7.6,2.6,9.5,0.991
03/11/2025 23:00,11.0,1.9,9.1,0.991
04/11/2025 00:00,7.6,1.7,9.6,0.991
04/11/2025 01:00,5.0,4.5,9.3,0.991
04/11/2025 02:00,4.9,4.3,9.5,0.991
04/11/2025 03:00,5.2,3.8,9.4,0.991
04/11/2025 04:00,6.9,2.3,9.2,0.991
04/11/2025 05:00,7.6,3.2,10.1,0.991
04/11/2025 06:00,11.2,3.9,10.9,0.991
04/11/2025 07:00,13.7,2.9,11.7,0.992
04/11/2025 08:00,15.3,4.4,12.8,0.992
04/11/2025 09:00,14.8,5.9,13.1,0.993
04/11/2025 10:00,14.2,5.6,14.5,0.993
04/11/2025 11:00,13.5,4.9,15.4,0.994
04/11/2025 12:00,17.6,4.2,15.0,0.994
04/11/2025 13:00,18.1,5.7,14.2,0.994
04/11/2025 14:00,17.8,3.4,15.4,0.994
04/11/2025 15:00,19.9,8.2,15.4,0.994
04/11/2025 16:00,22.0,6.7,15.2,0.994
04/11/2025 17:00,23.3,9.0,14.6,0.995
04/11/2025 18:00,19.1,8.4,14.3,0.995
04/11/2025 19:00,22.6,8.9,14.3,0.996
04/11/2025 20:00,20.6,8.5,13.9,0.996
04/11/2025 21:00,20.2,7.5,13.9,0.997
04/11/2025 22:00,16.3,6.2,14.0,0.997
04/11/2025 23:00,12.1,4.1,13.6,0.997
05/11/2025 00:00,9.4,3.7,13.3,0.997
05/11/2025 01:00,10.1,1.2,13.5,0.997
05/11/2025 02:00,9.6,3.0,13.5,0.997
05/11/2025 03:00,9.0,2.5,13.4,0.997
05/11/2025 04:00,10.9,2.9,13.3,0.996
05/11/2025 05:00,9.6,3.3,13.3,0.996
05/11/2025 06:00,13.8,3.1,13.4,0.997
05/11/2025 07:00,17.1,3.4,13.9,0.997
05/11/2025 08:00,19.4,6.0,14.4,0.998
05/11/2025 09:00,17.9,8.7,15.2,0.999
05/11/2025 10:00,16.4,9.1,15.4,0.999
05/11/2025 11:00,12.9,6.1,15.8,0.999
05/11/2025 12:00,9.8,5.1,16.7,0.999
05/11/2025 13:00,11.3,4.3,18.0,0.999
05/11/2025 14:00,11.1,5.0,18.4,0.998
05/11/2025 15:00,12.1,4.8,18.6,0.998
05/11/2025 16:00,11.3,3.7,18.8,0.997
05/11/2025 17:00,12.2,4.1,18.3,0.997
05/11/2025 18:00,13.4,3.9,17.2,0.996
05/11/2025 19:00,13.4,5.8,16.5,0.996
05/11/2025 20:00,16.3,5.7,15.7,0.996
05/11/2025 21:00,15.7,6.3,14.4,0.996
05/11/2025 22:00,12.5,3.9,13.6,0.996
05/11/2025 23:00,11.7,3.5,13.3,0.995
06/11/2025 00:00,9.5,3.8,13.3,0.995
06/11/2025 01:00,9.0,7.5,13.1,0.995
06/11/2025 02:00,8.7,7.4,13.0,0.994
06/11/2025 03:00,8.5,3.5,13.2,0.993
06/11/2025 04:00,7.3,3.2,13.9,0.992
06/11/2025 05:00,7.7,3.1,14.9,0.992
06/11/2025 06:00,7.4,2.5,15.9,0.992
06/11/2025 07:00,9.7,4.9,16.8,0.992
06/11/2025 08:00,9.6,4.2,17.9,0.993
06/11/2025 09:00,10.2,6.4,18.4,0.994
06/11/2025 10:00,10.7,5.6,18.8,0.994
06/11/2025 11:00,12.4,4.3,19.7,0.993
06/11/2025 12:00,13.9,5.6,20.3,0.992
06/11/2025 13:00,13.1,5.5,19.7,0.991
06/11/2025 14:00,11.6,3.1,20.1,0.990
06/11/2025 15:00,9.6,1.7,22.0,0.988
06/11/2025 16:00,,1.8,,
06/11/2025 17:00,,1.1,,
06/11/2025 18:00,,0.6,,
06/11/2025 19:00,,2.4,,
06/11/2025 20:00,,2.8,,
06/11/2025 21:00,,3.0,,
06/11/2025 22:00,,3.1,,
06/11/2025 23:00,,3.9,,
07/11/2025 00:00,,1.2,,
07/11/2025 01:00,,0.3,,
07/11/2025 02:00,,1.4,,
07/11/2025 03:00,,3.7,,
07/11/2025 04:00,,4.0,,
07/11/2025 05:00,,4.4,,
07/11/2025 06:00,,4.2,,
07/11/2025 07:00,,5.8,,
07/11/2025 08:00,18.7,9.4,24.3,0.984
07/11/2025 09:00,22.6,14.7,22.2,0.984
07/11/2025 10:00,21.1,13.7,22.6,0.985
07/11/2025 11:00,23.9,11.6,21.7,0.985
07/11/2025 12:00,33.2,12.9,20.5,0.985
07/11/2025 13:00,35.5,13.7,20.6,0.985
07/11/2025 14:00,27.9,10.9,19.9,0.986
07/11/2025 15:00,20.4,9.3,19.7,0.986
07/11/2025 16:00,17.8,6.2,18.4,0.987
07/11/2025 17:00,15.1,3.4,16.4,0.988
07/11/2025 18:00,12.4,1.0,15.7,0.989
07/11/2025 19:00,9.5,4.3,14.8,0.991
07/11/2025 20:00,6.6,2.7,14.0,0.992
07/11/2025 21:00,7.6,3.2,13.5,0.993
07/11/2025 22:00,11.1,4.4,12.8,0.993
07/11/2025 23:00,8.1,4.0,12.2,0.994
08/11/2025 00:00,8.2,2.9,11.9,0.994
08/11/2025 01:00,9.3,2.8,11.2,0.995
08/11/2025 02:00,8.6,4.1,11.1,0.995
08/11/2025 03:00,7.3,3.0,10.9,0.995
08/11/2025 04:00,10.7,4.1,11.0,0.996
08/11/2025 05:00,17.0,6.7,11.0,0.996
08/11/2025 06:00,20.8,6.2,11.2,0.997
08/11/2025 07:00,20.8,5.3,11.9,0.998
08/11/2025 08:00,18.6,7.8,12.4,0.999
08/11/2025 09:00,19.0,7.1,13.9,0.999
08/11/2025 10:00,19.5,6.3,15.3,0.999
